BR2fix,BR2KP
Alabama-Birmingham,UAB
Albany (NY),Albany
Arkansas-Pine Bluff,Arkansas Pine Bluff
Bethune-Cookman,Bethune Cookman
Bowling Green St.,Bowling Green
Brigham Young,BYU
Cal St. Long Beach,Long Beach St.
California Baptist,Cal Baptist
Centenary (LA),Centenary
Central Connecticut St.,Central Connecticut
Central Florida,UCF
Citadel,The Citadel
Florida International,FIU
Gardner-Webb,Gardner Webb
Grambling,Grambling St.
Illinois-Chicago,Illinois Chicago
Long Island University,LIU
Louisiana St.,LSU
Louisiana-Monroe,Louisiana Monroe
Loyola (IL),Loyola Chicago
Loyola (MD),Loyola MD
Maryland-Baltimore County,UMBC
Maryland-Eastern Shore,Maryland Eastern Shore
Massachusetts-Lowell,UMass Lowell
Miami (FL),Miami FL
Miami (OH),Miami OH
Missouri-Kansas City,UMKC
Nevada-Las Vegas,UNLV
North Carolina-Asheville,UNC Asheville
North Carolina-Greensboro,UNC Greensboro
North Carolina-Wilmington,UNC Wilmington
Omaha,Nebraska Omaha
Pennsylvania,Penn
Prairie View,Prairie View A&M
Purdue-Fort Wayne,Purdue Fort Wayne
Saint Francis (PA),St. Francis PA
Saint Mary's (CA),Saint Mary's
South Carolina Upstate,USC Upstate
Southern California,USC
Southern Methodist,SMU
Southern Mississippi,Southern Miss
St. Francis (NY),St. Francis NY
St. John's (NY),St. John's
St. Thomas (MN),St. Thomas
Tennessee-Martin,Tennessee Martin
Texas A&M-Corpus Christi,Texas A&M Corpus Chris
Texas Christian,TCU
Texas-Arlington,UT Arlington
Texas-El Paso,UTEP
Texas-Rio Grande Valley,UT Rio Grande Valley
Texas-San Antonio,UTSA
UC-Davis,UC Davis
UC-Irvine,UC Irvine
UC-Riverside,UC Riverside
UC-San Diego,UC San Diego
UC-Santa Barbara,UC Santa Barbara
University of California,California
Virginia Commonwealth,VCU
College of Charleston,Charleston
Detroit Mercy,Detroit
